Mass (Solar Masses) | Distance (Units) | Information Density | QIR-HPC Correction
10.90 | 109.01 | 0.0218 | 6.267397
10.95 | 109.46 | 0.0219 | 6.276828
10.99 | 109.91 | 0.0220 | 6.286223
11.04 | 110.36 | 0.0221 | 6.295579
11.08 | 110.81 | 0.0222 | 6.304899
11.13 | 111.26 | 0.0223 | 6.314183
11.17 | 111.71 | 0.0223 | 6.323430
11.22 | 112.16 | 0.0224 | 6.332641
11.26 | 112.61 | 0.0225 | 6.341817
11.31 | 113.06 | 0.0226 | 6.350956
11.35 | 113.51 | 0.0227 | 6.360061
11.40 | 113.96 | 0.0228 | 6.369131
11.44 | 114.41 | 0.0229 | 6.378166
11.49 | 114.86 | 0.0230 | 6.387167
11.53 | 115.32 | 0.0231 | 6.396134
11.58 | 115.77 | 0.0232 | 6.405066
11.62 | 116.22 | 0.0232 | 6.413965
11.67 | 116.67 | 0.0233 | 6.422831
11.71 | 117.12 | 0.0234 | 6.431664
11.76 | 117.57 | 0.0235 | 6.440464
11.80 | 118.02 | 0.0236 | 6.449231
11.85 | 118.47 | 0.0237 | 6.457966
11.89 | 118.92 | 0.0238 | 6.466669
11.94 | 119.37 | 0.0239 | 6.475339
11.98 | 119.82 | 0.0240 | 6.483978
12.03 | 120.27 | 0.0241 | 6.492586
12.07 | 120.72 | 0.0241 | 6.501163
12.12 | 121.17 | 0.0242 | 6.509708
12.16 | 121.62 | 0.0243 | 6.518223
12.21 | 122.07 | 0.0244 | 6.526707
12.25 | 122.52 | 0.0245 | 6.535161
12.30 | 122.97 | 0.0246 | 6.543584
12.34 | 123.42 | 0.0247 | 6.551978
12.39 | 123.87 | 0.0248 | 6.560342
12.43 | 124.32 | 0.0249 | 6.568677
12.48 | 124.77 | 0.0250 | 6.576983
12.52 | 125.23 | 0.0250 | 6.585259
12.57 | 125.68 | 0.0251 | 6.593506
12.61 | 126.13 | 0.0252 | 6.601725
12.66 | 126.58 | 0.0253 | 6.609916
12.70 | 127.03 | 0.0254 | 6.618078
12.75 | 127.48 | 0.0255 | 6.626212
12.79 | 127.93 | 0.0256 | 6.634318
12.84 | 128.38 | 0.0257 | 6.642397
12.88 | 128.83 | 0.0258 | 6.650448
12.93 | 129.28 | 0.0259 | 6.658471
12.97 | 129.73 | 0.0259 | 6.666468
13.02 | 130.18 | 0.0260 | 6.674438
13.06 | 130.63 | 0.0261 | 6.682381
13.11 | 131.08 | 0.0262 | 6.690297
13.15 | 131.53 | 0.0263 | 6.698187
13.20 | 131.98 | 0.0264 | 6.706051
13.24 | 132.43 | 0.0265 | 6.713889
13.29 | 132.88 | 0.0266 | 6.721700
13.33 | 133.33 | 0.0267 | 6.729486
13.38 | 133.78 | 0.0268 | 6.737247
13.42 | 134.23 | 0.0268 | 6.744982
13.47 | 134.68 | 0.0269 | 6.752692
13.51 | 135.14 | 0.0270 | 6.760377
13.56 | 135.59 | 0.0271 | 6.768037
13.60 | 136.04 | 0.0272 | 6.775673
13.65 | 136.49 | 0.0273 | 6.783284
13.69 | 136.94 | 0.0274 | 6.790870
13.74 | 137.39 | 0.0275 | 6.798432
13.78 | 137.84 | 0.0276 | 6.805970
13.83 | 138.29 | 0.0277 | 6.813485
13.87 | 138.74 | 0.0277 | 6.820975
13.92 | 139.19 | 0.0278 | 6.828442
13.96 | 139.64 | 0.0279 | 6.835885
14.01 | 140.09 | 0.0280 | 6.843305
14.05 | 140.54 | 0.0281 | 6.850702
14.10 | 140.99 | 0.0282 | 6.858076
14.14 | 141.44 | 0.0283 | 6.865427
14.19 | 141.89 | 0.0284 | 6.872755
14.23 | 142.34 | 0.0285 | 6.880060
14.28 | 142.79 | 0.0286 | 6.887343
14.32 | 143.24 | 0.0286 | 6.894604
14.37 | 143.69 | 0.0287 | 6.901843
14.41 | 144.14 | 0.0288 | 6.909059
14.46 | 144.59 | 0.0289 | 6.916254
14.50 | 145.05 | 0.0290 | 6.923426
14.55 | 145.50 | 0.0291 | 6.930578
14.59 | 145.95 | 0.0292 | 6.937707
14.64 | 146.40 | 0.0293 | 6.944815
14.68 | 146.85 | 0.0294 | 6.951902
14.73 | 147.30 | 0.0295 | 6.958968
14.77 | 147.75 | 0.0295 | 6.966013
14.82 | 148.20 | 0.0296 | 6.973036
14.86 | 148.65 | 0.0297 | 6.980040
14.91 | 149.10 | 0.0298 | 6.987022
14.95 | 149.55 | 0.0299 | 6.993984
15.00 | 150.00 | 0.0300 | 7.000925
15.05 | 150.45 | 0.0301 | 7.007847
15.09 | 150.90 | 0.0302 | 7.014748
15.14 | 151.35 | 0.0303 | 7.021629
15.18 | 151.80 | 0.0304 | 7.028490
15.23 | 152.25 | 0.0305 | 7.035331
15.27 | 152.70 | 0.0305 | 7.042153
