Mass (Solar Masses) | Distance (Units) | Information Density | QIR-HPC Correction
31.04 | 310.36 | 0.0621 | 8.693779
31.08 | 310.81 | 0.0622 | 8.697184
31.13 | 311.26 | 0.0623 | 8.700585
31.17 | 311.71 | 0.0623 | 8.703981
31.22 | 312.16 | 0.0624 | 8.707372
31.26 | 312.61 | 0.0625 | 8.710759
31.31 | 313.06 | 0.0626 | 8.714141
31.35 | 313.51 | 0.0627 | 8.717517
31.40 | 313.96 | 0.0628 | 8.720890
31.44 | 314.41 | 0.0629 | 8.724257
31.49 | 314.86 | 0.0630 | 8.727620
31.53 | 315.32 | 0.0631 | 8.730978
31.58 | 315.77 | 0.0632 | 8.734332
31.62 | 316.22 | 0.0632 | 8.737680
31.67 | 316.67 | 0.0633 | 8.741024
31.71 | 317.12 | 0.0634 | 8.744364
31.76 | 317.57 | 0.0635 | 8.747699
31.80 | 318.02 | 0.0636 | 8.751029
31.85 | 318.47 | 0.0637 | 8.754355
31.89 | 318.92 | 0.0638 | 8.757676
31.94 | 319.37 | 0.0639 | 8.760992
31.98 | 319.82 | 0.0640 | 8.764304
32.03 | 320.27 | 0.0641 | 8.767612
32.07 | 320.72 | 0.0641 | 8.770914
32.12 | 321.17 | 0.0642 | 8.774213
32.16 | 321.62 | 0.0643 | 8.777507
32.21 | 322.07 | 0.0644 | 8.780796
32.25 | 322.52 | 0.0645 | 8.784081
32.30 | 322.97 | 0.0646 | 8.787361
32.34 | 323.42 | 0.0647 | 8.790637
32.39 | 323.87 | 0.0648 | 8.793909
32.43 | 324.32 | 0.0649 | 8.797176
32.48 | 324.77 | 0.0650 | 8.800438
32.52 | 325.23 | 0.0650 | 8.803696
32.57 | 325.68 | 0.0651 | 8.806950
32.61 | 326.13 | 0.0652 | 8.810200
32.66 | 326.58 | 0.0653 | 8.813445
32.70 | 327.03 | 0.0654 | 8.816685
32.75 | 327.48 | 0.0655 | 8.819922
32.79 | 327.93 | 0.0656 | 8.823154
32.84 | 328.38 | 0.0657 | 8.826381
32.88 | 328.83 | 0.0658 | 8.829605
32.93 | 329.28 | 0.0659 | 8.832824
32.97 | 329.73 | 0.0659 | 8.836039
33.02 | 330.18 | 0.0660 | 8.839249
33.06 | 330.63 | 0.0661 | 8.842455
33.11 | 331.08 | 0.0662 | 8.845657
33.15 | 331.53 | 0.0663 | 8.848855
33.20 | 331.98 | 0.0664 | 8.852049
33.24 | 332.43 | 0.0665 | 8.855238
33.29 | 332.88 | 0.0666 | 8.858423
33.33 | 333.33 | 0.0667 | 8.861604
33.38 | 333.78 | 0.0668 | 8.864780
33.42 | 334.23 | 0.0668 | 8.867953
33.47 | 334.68 | 0.0669 | 8.871121
33.51 | 335.14 | 0.0670 | 8.874285
33.56 | 335.59 | 0.0671 | 8.877445
33.60 | 336.04 | 0.0672 | 8.880601
33.65 | 336.49 | 0.0673 | 8.883753
33.69 | 336.94 | 0.0674 | 8.886901
33.74 | 337.39 | 0.0675 | 8.890044
33.78 | 337.84 | 0.0676 | 8.893184
33.83 | 338.29 | 0.0677 | 8.896319
33.87 | 338.74 | 0.0677 | 8.899451
33.92 | 339.19 | 0.0678 | 8.902578
33.96 | 339.64 | 0.0679 | 8.905701
34.01 | 340.09 | 0.0680 | 8.908820
34.05 | 340.54 | 0.0681 | 8.911935
34.10 | 340.99 | 0.0682 | 8.915047
34.14 | 341.44 | 0.0683 | 8.918154
34.19 | 341.89 | 0.0684 | 8.921257
34.23 | 342.34 | 0.0685 | 8.924356
34.28 | 342.79 | 0.0686 | 8.927451
34.32 | 343.24 | 0.0686 | 8.930543
34.37 | 343.69 | 0.0687 | 8.933630
34.41 | 344.14 | 0.0688 | 8.936713
34.46 | 344.59 | 0.0689 | 8.939793
34.50 | 345.05 | 0.0690 | 8.942868
34.55 | 345.50 | 0.0691 | 8.945940
34.59 | 345.95 | 0.0692 | 8.949008
34.64 | 346.40 | 0.0693 | 8.952071
34.68 | 346.85 | 0.0694 | 8.955131
34.73 | 347.30 | 0.0695 | 8.958187
34.77 | 347.75 | 0.0695 | 8.961240
34.82 | 348.20 | 0.0696 | 8.964288
34.86 | 348.65 | 0.0697 | 8.967333
34.91 | 349.10 | 0.0698 | 8.970373
34.95 | 349.55 | 0.0699 | 8.973410
35.00 | 350.00 | 0.0700 | 8.976443
35.05 | 350.45 | 0.0701 | 8.979472
35.09 | 350.90 | 0.0702 | 8.982498
35.14 | 351.35 | 0.0703 | 8.985520
35.18 | 351.80 | 0.0704 | 8.988537
35.23 | 352.25 | 0.0705 | 8.991552
35.27 | 352.70 | 0.0705 | 8.994562
35.32 | 353.15 | 0.0706 | 8.997569
35.36 | 353.60 | 0.0707 | 9.000572
35.41 | 354.05 | 0.0708 | 9.003571
35.45 | 354.50 | 0.0709 | 9.006566
35.50 | 354.95 | 0.0710 | 9.009558
35.54 | 355.41 | 0.0711 | 9.012546
35.59 | 355.86 | 0.0712 | 9.015531
35.63 | 356.31 | 0.0713 | 9.018511
35.68 | 356.76 | 0.0714 | 9.021488
35.72 | 357.21 | 0.0714 | 9.024462
35.77 | 357.66 | 0.0715 | 9.027431
35.81 | 358.11 | 0.0716 | 9.030398
35.86 | 358.56 | 0.0717 | 9.033360
35.90 | 359.01 | 0.0718 | 9.036319
35.95 | 359.46 | 0.0719 | 9.039274
35.99 | 359.91 | 0.0720 | 9.042226
36.04 | 360.36 | 0.0721 | 9.045174
36.08 | 360.81 | 0.0722 | 9.048118
36.13 | 361.26 | 0.0723 | 9.051059
36.17 | 361.71 | 0.0723 | 9.053996
36.22 | 362.16 | 0.0724 | 9.056930
36.26 | 362.61 | 0.0725 | 9.059860
36.31 | 363.06 | 0.0726 | 9.062787
36.35 | 363.51 | 0.0727 | 9.065710
36.40 | 363.96 | 0.0728 | 9.068630
36.44 | 364.41 | 0.0729 | 9.071546
36.49 | 364.86 | 0.0730 | 9.074458
36.53 | 365.32 | 0.0731 | 9.077367
36.58 | 365.77 | 0.0732 | 9.080273
36.62 | 366.22 | 0.0732 | 9.083175
36.67 | 366.67 | 0.0733 | 9.086074
36.71 | 367.12 | 0.0734 | 9.088969
36.76 | 367.57 | 0.0735 | 9.091860
36.80 | 368.02 | 0.0736 | 9.094749
36.85 | 368.47 | 0.0737 | 9.097633
36.89 | 368.92 | 0.0738 | 9.100515
36.94 | 369.37 | 0.0739 | 9.103393
36.98 | 369.82 | 0.0740 | 9.106267
37.03 | 370.27 | 0.0741 | 9.109138
37.07 | 370.72 | 0.0741 | 9.112006
37.12 | 371.17 | 0.0742 | 9.114871
37.16 | 371.62 | 0.0743 | 9.117732
37.21 | 372.07 | 0.0744 | 9.120589
37.25 | 372.52 | 0.0745 | 9.123443
37.30 | 372.97 | 0.0746 | 9.126294
37.34 | 373.42 | 0.0747 | 9.129142
37.39 | 373.87 | 0.0748 | 9.131986
37.43 | 374.32 | 0.0749 | 9.134827
37.48 | 374.77 | 0.0750 | 9.137664
37.52 | 375.23 | 0.0750 | 9.140498
37.57 | 375.68 | 0.0751 | 9.143329
37.61 | 376.13 | 0.0752 | 9.146157
37.66 | 376.58 | 0.0753 | 9.148981
37.70 | 377.03 | 0.0754 | 9.151802
37.75 | 377.48 | 0.0755 | 9.154620
37.79 | 377.93 | 0.0756 | 9.157434
37.84 | 378.38 | 0.0757 | 9.160246
37.88 | 378.83 | 0.0758 | 9.163053
37.93 | 379.28 | 0.0759 | 9.165858
37.97 | 379.73 | 0.0759 | 9.168660
38.02 | 380.18 | 0.0760 | 9.171458
38.06 | 380.63 | 0.0761 | 9.174253
38.11 | 381.08 | 0.0762 | 9.177045
38.15 | 381.53 | 0.0763 | 9.179833
38.20 | 381.98 | 0.0764 | 9.182619
38.24 | 382.43 | 0.0765 | 9.185401
38.29 | 382.88 | 0.0766 | 9.188180
38.33 | 383.33 | 0.0767 | 9.190955
38.38 | 383.78 | 0.0768 | 9.193728
38.42 | 384.23 | 0.0768 | 9.196498
38.47 | 384.68 | 0.0769 | 9.199264
38.51 | 385.14 | 0.0770 | 9.202027
38.56 | 385.59 | 0.0771 | 9.204787
38.60 | 386.04 | 0.0772 | 9.207544
38.65 | 386.49 | 0.0773 | 9.210298
38.69 | 386.94 | 0.0774 | 9.213048
38.74 | 387.39 | 0.0775 | 9.215796
38.78 | 387.84 | 0.0776 | 9.218540
38.83 | 388.29 | 0.0777 | 9.221282
38.87 | 388.74 | 0.0777 | 9.224020
38.92 | 389.19 | 0.0778 | 9.226755
38.96 | 389.64 | 0.0779 | 9.229487
39.01 | 390.09 | 0.0780 | 9.232216
39.05 | 390.54 | 0.0781 | 9.234942
39.10 | 390.99 | 0.0782 | 9.237665
39.14 | 391.44 | 0.0783 | 9.240385
39.19 | 391.89 | 0.0784 | 9.243101
39.23 | 392.34 | 0.0785 | 9.245815
39.28 | 392.79 | 0.0786 | 9.248526
39.32 | 393.24 | 0.0786 | 9.251234
39.37 | 393.69 | 0.0787 | 9.253938
39.41 | 394.14 | 0.0788 | 9.256640
39.46 | 394.59 | 0.0789 | 9.259339
39.50 | 395.05 | 0.0790 | 9.262034
39.55 | 395.50 | 0.0791 | 9.264727
39.59 | 395.95 | 0.0792 | 9.267417
39.64 | 396.40 | 0.0793 | 9.270103
39.68 | 396.85 | 0.0794 | 9.272787
39.73 | 397.30 | 0.0795 | 9.275468
39.77 | 397.75 | 0.0795 | 9.278146
39.82 | 398.20 | 0.0796 | 9.280821
39.86 | 398.65 | 0.0797 | 9.283493
39.91 | 399.10 | 0.0798 | 9.286162
39.95 | 399.55 | 0.0799 | 9.288828
40.00 | 400.00 | 0.0800 | 9.291491
40.05 | 400.45 | 0.0801 | 9.294151
40.09 | 400.90 | 0.0802 | 9.296808
40.14 | 401.35 | 0.0803 | 9.299463
40.18 | 401.80 | 0.0804 | 9.302114
40.23 | 402.25 | 0.0805 | 9.304763
40.27 | 402.70 | 0.0805 | 9.307409
40.32 | 403.15 | 0.0806 | 9.310052
40.36 | 403.60 | 0.0807 | 9.312692
40.41 | 404.05 | 0.0808 | 9.315329
40.45 | 404.50 | 0.0809 | 9.317963
40.50 | 404.95 | 0.0810 | 9.320595
40.54 | 405.41 | 0.0811 | 9.323223
40.59 | 405.86 | 0.0812 | 9.325849
40.63 | 406.31 | 0.0813 | 9.328472
40.68 | 406.76 | 0.0814 | 9.331092
40.72 | 407.21 | 0.0814 | 9.333710
40.77 | 407.66 | 0.0815 | 9.336324
40.81 | 408.11 | 0.0816 | 9.338936
40.86 | 408.56 | 0.0817 | 9.341545
40.90 | 409.01 | 0.0818 | 9.344151
40.95 | 409.46 | 0.0819 | 9.346754
40.99 | 409.91 | 0.0820 | 9.349355
41.04 | 410.36 | 0.0821 | 9.351952
41.08 | 410.81 | 0.0822 | 9.354547
41.13 | 411.26 | 0.0823 | 9.357139
41.17 | 411.71 | 0.0823 | 9.359729
41.22 | 412.16 | 0.0824 | 9.362316
41.26 | 412.61 | 0.0825 | 9.364900
41.31 | 413.06 | 0.0826 | 9.367481
41.35 | 413.51 | 0.0827 | 9.370059
41.40 | 413.96 | 0.0828 | 9.372635
41.44 | 414.41 | 0.0829 | 9.375208
41.49 | 414.86 | 0.0830 | 9.377778
41.53 | 415.32 | 0.0831 | 9.380346
41.58 | 415.77 | 0.0832 | 9.382911
41.62 | 416.22 | 0.0832 | 9.385473
41.67 | 416.67 | 0.0833 | 9.388033
41.71 | 417.12 | 0.0834 | 9.390589
41.76 | 417.57 | 0.0835 | 9.393143
41.80 | 418.02 | 0.0836 | 9.395695
41.85 | 418.47 | 0.0837 | 9.398244
41.89 | 418.92 | 0.0838 | 9.400790
41.94 | 419.37 | 0.0839 | 9.403333
41.98 | 419.82 | 0.0840 | 9.405874
42.03 | 420.27 | 0.0841 | 9.408412
42.07 | 420.72 | 0.0841 | 9.410948
42.12 | 421.17 | 0.0842 | 9.413481
42.16 | 421.62 | 0.0843 | 9.416011
42.21 | 422.07 | 0.0844 | 9.418539
42.25 | 422.52 | 0.0845 | 9.421064
42.30 | 422.97 | 0.0846 | 9.423586
42.34 | 423.42 | 0.0847 | 9.426106
42.39 | 423.87 | 0.0848 | 9.428623
42.43 | 424.32 | 0.0849 | 9.431138
42.48 | 424.77 | 0.0850 | 9.433650
42.52 | 425.23 | 0.0850 | 9.436159
42.57 | 425.68 | 0.0851 | 9.438666
42.61 | 426.13 | 0.0852 | 9.441170
42.66 | 426.58 | 0.0853 | 9.443672
42.70 | 427.03 | 0.0854 | 9.446171
42.75 | 427.48 | 0.0855 | 9.448667
42.79 | 427.93 | 0.0856 | 9.451161
42.84 | 428.38 | 0.0857 | 9.453653
42.88 | 428.83 | 0.0858 | 9.456142
42.93 | 429.28 | 0.0859 | 9.458628
42.97 | 429.73 | 0.0859 | 9.461112
43.02 | 430.18 | 0.0860 | 9.463593
43.06 | 430.63 | 0.0861 | 9.466072
43.11 | 431.08 | 0.0862 | 9.468548
43.15 | 431.53 | 0.0863 | 9.471022
43.20 | 431.98 | 0.0864 | 9.473494
43.24 | 432.43 | 0.0865 | 9.475962
43.29 | 432.88 | 0.0866 | 9.478429
43.33 | 433.33 | 0.0867 | 9.480892
43.38 | 433.78 | 0.0868 | 9.483354
43.42 | 434.23 | 0.0868 | 9.485812
43.47 | 434.68 | 0.0869 | 9.488269
43.51 | 435.14 | 0.0870 | 9.490723
43.56 | 435.59 | 0.0871 | 9.493174
43.60 | 436.04 | 0.0872 | 9.495623
43.65 | 436.49 | 0.0873 | 9.498069
43.69 | 436.94 | 0.0874 | 9.500513
43.74 | 437.39 | 0.0875 | 9.502955
43.78 | 437.84 | 0.0876 | 9.505394
43.83 | 438.29 | 0.0877 | 9.507831
43.87 | 438.74 | 0.0877 | 9.510265
43.92 | 439.19 | 0.0878 | 9.512697
43.96 | 439.64 | 0.0879 | 9.515126
44.01 | 440.09 | 0.0880 | 9.517553
44.05 | 440.54 | 0.0881 | 9.519978
44.10 | 440.99 | 0.0882 | 9.522400
44.14 | 441.44 | 0.0883 | 9.524820
44.19 | 441.89 | 0.0884 | 9.527238
44.23 | 442.34 | 0.0885 | 9.529653
44.28 | 442.79 | 0.0886 | 9.532065
44.32 | 443.24 | 0.0886 | 9.534475
44.37 | 443.69 | 0.0887 | 9.536883
44.41 | 444.14 | 0.0888 | 9.539289
44.46 | 444.59 | 0.0889 | 9.541692
44.50 | 445.05 | 0.0890 | 9.544093
44.55 | 445.50 | 0.0891 | 9.546491
44.59 | 445.95 | 0.0892 | 9.548887
44.64 | 446.40 | 0.0893 | 9.551281
44.68 | 446.85 | 0.0894 | 9.553672
44.73 | 447.30 | 0.0895 | 9.556061
44.77 | 447.75 | 0.0895 | 9.558448
44.82 | 448.20 | 0.0896 | 9.560832
44.86 | 448.65 | 0.0897 | 9.563214
44.91 | 449.10 | 0.0898 | 9.565594
44.95 | 449.55 | 0.0899 | 9.567972
45.00 | 450.00 | 0.0900 | 9.570347
45.05 | 450.45 | 0.0901 | 9.572719
45.09 | 450.90 | 0.0902 | 9.575090
45.14 | 451.35 | 0.0903 | 9.577458
45.18 | 451.80 | 0.0904 | 9.579824
45.23 | 452.25 | 0.0905 | 9.582188
45.27 | 452.70 | 0.0905 | 9.584549
45.32 | 453.15 | 0.0906 | 9.586908
45.36 | 453.60 | 0.0907 | 9.589265
45.41 | 454.05 | 0.0908 | 9.591619
45.45 | 454.50 | 0.0909 | 9.593972
45.50 | 454.95 | 0.0910 | 9.596322
45.54 | 455.41 | 0.0911 | 9.598669
45.59 | 455.86 | 0.0912 | 9.601015
45.63 | 456.31 | 0.0913 | 9.603358
45.68 | 456.76 | 0.0914 | 9.605699
45.72 | 457.21 | 0.0914 | 9.608038
45.77 | 457.66 | 0.0915 | 9.610374
45.81 | 458.11 | 0.0916 | 9.612709
45.86 | 458.56 | 0.0917 | 9.615041
45.90 | 459.01 | 0.0918 | 9.617370
45.95 | 459.46 | 0.0919 | 9.619698
45.99 | 459.91 | 0.0920 | 9.622024
46.04 | 460.36 | 0.0921 | 9.624347
46.08 | 460.81 | 0.0922 | 9.626668
46.13 | 461.26 | 0.0923 | 9.628987
46.17 | 461.71 | 0.0923 | 9.631303
46.22 | 462.16 | 0.0924 | 9.633618
46.26 | 462.61 | 0.0925 | 9.635930
46.31 | 463.06 | 0.0926 | 9.638240
46.35 | 463.51 | 0.0927 | 9.640548
46.40 | 463.96 | 0.0928 | 9.642853
46.44 | 464.41 | 0.0929 | 9.645157
46.49 | 464.86 | 0.0930 | 9.647458
46.53 | 465.32 | 0.0931 | 9.649757
46.58 | 465.77 | 0.0932 | 9.652054
46.62 | 466.22 | 0.0932 | 9.654349
46.67 | 466.67 | 0.0933 | 9.656642
46.71 | 467.12 | 0.0934 | 9.658933
46.76 | 467.57 | 0.0935 | 9.661221
46.80 | 468.02 | 0.0936 | 9.663507
46.85 | 468.47 | 0.0937 | 9.665792
46.89 | 468.92 | 0.0938 | 9.668074
46.94 | 469.37 | 0.0939 | 9.670354
46.98 | 469.82 | 0.0940 | 9.672631
47.03 | 470.27 | 0.0941 | 9.674907
47.07 | 470.72 | 0.0941 | 9.677181
47.12 | 471.17 | 0.0942 | 9.679452
47.16 | 471.62 | 0.0943 | 9.681721
47.21 | 472.07 | 0.0944 | 9.683989
47.25 | 472.52 | 0.0945 | 9.686254
47.30 | 472.97 | 0.0946 | 9.688517
47.34 | 473.42 | 0.0947 | 9.690778
47.39 | 473.87 | 0.0948 | 9.693037
47.43 | 474.32 | 0.0949 | 9.695294
47.48 | 474.77 | 0.0950 | 9.697548
47.52 | 475.23 | 0.0950 | 9.699801
47.57 | 475.68 | 0.0951 | 9.702052
47.61 | 476.13 | 0.0952 | 9.704300
47.66 | 476.58 | 0.0953 | 9.706547
47.70 | 477.03 | 0.0954 | 9.708791
47.75 | 477.48 | 0.0955 | 9.711034
47.79 | 477.93 | 0.0956 | 9.713274
47.84 | 478.38 | 0.0957 | 9.715512
47.88 | 478.83 | 0.0958 | 9.717748
47.93 | 479.28 | 0.0959 | 9.719983
47.97 | 479.73 | 0.0959 | 9.722215
48.02 | 480.18 | 0.0960 | 9.724445
48.06 | 480.63 | 0.0961 | 9.726673
48.11 | 481.08 | 0.0962 | 9.728899
48.15 | 481.53 | 0.0963 | 9.731123
48.20 | 481.98 | 0.0964 | 9.733345
48.24 | 482.43 | 0.0965 | 9.735565
48.29 | 482.88 | 0.0966 | 9.737783
48.33 | 483.33 | 0.0967 | 9.739999
48.38 | 483.78 | 0.0968 | 9.742213
48.42 | 484.23 | 0.0968 | 9.744425
48.47 | 484.68 | 0.0969 | 9.746635
48.51 | 485.14 | 0.0970 | 9.748843
48.56 | 485.59 | 0.0971 | 9.751049
48.60 | 486.04 | 0.0972 | 9.753253
48.65 | 486.49 | 0.0973 | 9.755456
48.69 | 486.94 | 0.0974 | 9.757656
48.74 | 487.39 | 0.0975 | 9.759854
48.78 | 487.84 | 0.0976 | 9.762050
48.83 | 488.29 | 0.0977 | 9.764244
48.87 | 488.74 | 0.0977 | 9.766436
48.92 | 489.19 | 0.0978 | 9.768627
48.96 | 489.64 | 0.0979 | 9.770815
49.01 | 490.09 | 0.0980 | 9.773002
49.05 | 490.54 | 0.0981 | 9.775186
49.10 | 490.99 | 0.0982 | 9.777369
49.14 | 491.44 | 0.0983 | 9.779549
49.19 | 491.89 | 0.0984 | 9.781728
49.23 | 492.34 | 0.0985 | 9.783904
49.28 | 492.79 | 0.0986 | 9.786079
49.32 | 493.24 | 0.0986 | 9.788252
49.37 | 493.69 | 0.0987 | 9.790423
49.41 | 494.14 | 0.0988 | 9.792592
49.46 | 494.59 | 0.0989 | 9.794759
49.50 | 495.05 | 0.0990 | 9.796924
49.55 | 495.50 | 0.0991 | 9.799088
49.59 | 495.95 | 0.0992 | 9.801249
49.64 | 496.40 | 0.0993 | 9.803408
49.68 | 496.85 | 0.0994 | 9.805566
49.73 | 497.30 | 0.0995 | 9.807722
49.77 | 497.75 | 0.0995 | 9.809876
49.82 | 498.20 | 0.0996 | 9.812027
49.86 | 498.65 | 0.0997 | 9.814177
49.91 | 499.10 | 0.0998 | 9.816326
49.95 | 499.55 | 0.0999 | 9.818472
50.00 | 500.00 | 0.1000 | 9.820616
